tag,time,ex,ey,ez,ax,ay,az,lx,ly,lz,x,y,z
head_imu,1.741665,355.6443,268.7711,31.32194,1.322749,-9.804339,0.1875103,-8.347907,-4.89375,-2.067263,-0.0262186,1.674947,-0.31756
head_imu,1.791665,355.1388,267.8068,31.05368,0.5024379,-9.633489,1.429796,-8.90984,-3.719621,-1.371149,-0.000734652,1.673993,-0.3480916
head_imu,1.841665,354.4262,266.9103,30.33624,-0.3083175,-8.960004,2.797592,-9.129101,-2.086404,-0.7139233,0.0239785,1.675139,-0.3716291
head_imu,1.891665,353.382,265.8748,29.77139,-0.9152061,-8.763165,3.561378,-9.418028,-1.21939,-0.3576754,0.04640364,1.678877,-0.3862633
head_imu,1.941665,352.3805,265.1886,29.46378,-1.183277,-9.003205,3.797579,-9.779093,-1.064275,-0.3407869,0.06587059,1.684607,-0.3914035
head_imu,1.991665,351.3018,264.3972,29.59205,-1.082362,-9.357972,3.800082,-10.05641,-1.24024,-0.7171372,0.08263163,1.691442,-0.3870434
head_imu,2.041666,349.6133,263.3943,29.98842,-0.1021445,-9.753461,3.688252,-10.096,-1.582584,-2.075998,0.09913731,1.698394,-0.3734628
head_imu,2.091666,347.9246,262.65,30.69701,-0.6421536,-11.05532,2.435505,-10.62945,-3.405912,-1.99466,0.1140376,1.702207,-0.3537934
head_imu,2.141667,346.514,262.1403,30.35353,0.1785904,-10.89925,1.824379,-9.961006,-3.767213,-2.956423,0.1293844,1.703272,-0.329563
head_imu,2.191668,345.1536,261.4425,29.29606,0.1256078,-10.73403,0.7173777,-9.335031,-4.445739,-2.973622,0.1450452,1.702002,-0.3035392
head_imu,2.241668,343.9276,260.8241,27.81789,-0.4362702,-9.861989,-0.2607942,-8.40932,-4.649526,-2.276496,0.1596153,1.700577,-0.2781674
head_imu,2.291669,343.1625,260.4698,26.52324,-1.10991,-9.37676,-1.117754,-7.95167,-4.995197,-1.491258,0.1714106,1.70021,-0.25559
head_imu,2.34167,342.702,259.7952,26.31787,-1.421958,-9.564919,-1.819927,-7.962241,-5.655478,-1.200032,0.1796511,1.700431,-0.2375623
head_imu,2.39167,342.9407,259.514,26.33009,-1.5342,-9.812732,-1.909959,-8.186627,-5.835354,-1.104169,0.184056,1.70062,-0.2243096
head_imu,2.441671,343.3256,259.3778,26.05517,-1.348835,-10.32376,-1.68066,-8.689825,-5.810642,-1.395477,0.1850889,1.699499,-0.2152586
head_imu,2.491672,343.5197,259.2221,26.07743,-0.902915,-10.24107,-1.347309,-8.60326,-5.496058,-1.813109,0.1838645,1.697276,-0.2095758
head_imu,2.541672,344.1243,259.2192,26.24675,-0.6551027,-9.690804,-1.149678,-8.125525,-5.129085,-1.825089,0.1810023,1.695326,-0.2067672
head_imu,2.591673,345.1935,259.5204,26.96909,-0.5382001,-9.457011,-1.305068,-7.785706,-5.291777,-1.675654,0.1767946,1.694233,-0.2072212
head_imu,2.641674,346.6301,260.2108,28.18424,-0.6415725,-9.665532,-1.615191,-7.773217,-5.847232,-1.352752,0.170983,1.693477,-0.2117133
head_imu,2.691674,348.6823,261.2472,28.73611,-0.9984255,-10.00285,-1.778144,-8.044852,-6.242027,-0.7301136,0.1626753,1.692213,-0.2206507
head_imu,2.741675,350.6531,262.9544,29.12098,-1.236308,-10.36901,-1.480222,-8.496765,-6.24134,-0.2942077,0.1512768,1.689527,-0.2332886
head_imu,2.791676,352.5167,264.8624,29.3893,-1.261652,-10.44487,-0.7867634,-8.844648,-5.751208,-0.04457409,0.1367243,1.685229,-0.2478935
head_imu,2.841676,354.2964,266.9206,29.45634,-1.162976,-10.2806,0.2894104,-9.179306,-4.780526,0.1183659,0.1192642,1.679729,-0.2617748
head_imu,2.891677,355.5806,269.4544,28.90929,-0.7921785,-9.795327,1.617295,-9.387044,-3.327858,0.01963411,0.09982378,1.674241,-0.2716129
head_imu,2.941678,356.5451,272.0041,27.15336,-0.4240304,-9.047647,2.668393,-9.273856,-1.776168,-0.02908413,0.07932324,1.670633,-0.2747801
head_imu,2.991678,357.3405,274.8032,24.53897,-0.1982105,-8.502717,3.291655,-9.101753,-0.5678603,0.07809422,0.05832717,1.670269,-0.2697181
