tag,time,ex,ey,ez,ax,ay,az,lx,ly,lz,x,y,z
right_hip_imu,1.691665,348.863,238.0603,6.554872,0.5399227,-9.824796,-2.394923,-9.467355,-3.421087,-1.104148,1.52217,0.8206572,0.003718923
right_hip_imu,1.741665,345.919,234.8686,5.540855,0.5440712,-10.08949,-2.736266,-9.767845,-3.510442,-1.359014,1.528722,0.8242893,-0.02211642
right_hip_imu,1.791665,341.905,230.9745,3.247427,0.3818512,-9.970756,-2.809089,-9.781672,-2.981624,-1.697519,1.536228,0.8274944,-0.05497449
right_hip_imu,1.841665,337.6774,226.7379,359.75,0.4010201,-9.593577,-2.523407,-9.429695,-2.071324,-2.314215,1.544737,0.8312157,-0.09414107
right_hip_imu,1.891665,333.9203,222.2234,355.675,0.5264282,-9.730144,-1.935847,-9.315416,-0.9910764,-3.307735,1.554561,0.8351116,-0.1381473
right_hip_imu,1.941665,330.2579,218.2278,351.784,0.7287979,-9.980531,-1.065975,-8.942632,0.04630069,-4.615803,1.566208,0.8385561,-0.1848184
right_hip_imu,1.991665,326.4988,215.2086,348.1703,0.6801128,-10.02984,-0.03545284,-8.107908,1.109575,-5.838845,1.579556,0.8414261,-0.2315782
right_hip_imu,2.041666,322.8876,212.4022,345.0621,0.817728,-9.880013,-0.7447898,-8.004585,1.007903,-5.809373,1.594947,0.844096,-0.2801999
right_hip_imu,2.091666,319.7903,208.4865,343.697,-0.6833076,-9.708018,2.885687,-5.191185,3.57804,-7.955435,1.60863,0.8469959,-0.3216074
right_hip_imu,2.141667,316.5391,204.9834,343.25,-0.7786751,-8.964033,1.66924,-5.043846,2.991366,-7.02552,1.620367,0.8519857,-0.3588419
right_hip_imu,2.191668,312.8569,205.3064,341.5162,-1.064205,-8.655448,2.12183,-3.973571,3.299024,-7.340209,1.629443,0.8598369,-0.3907717
right_hip_imu,2.241668,308.4947,209.2298,336.6399,-1.371956,-8.271475,2.92933,-2.3292,3.868329,-7.64797,1.635089,0.8715094,-0.4153782
right_hip_imu,2.291669,304.7846,213.2455,331.2567,-1.290655,-8.646102,3.251255,-1.500025,4.086736,-8.248642,1.637508,0.8860666,-0.4318566
right_hip_imu,2.34167,302.4682,214.6932,328.6296,-0.851059,-9.740014,2.95136,-1.826548,3.900652,-9.260203,1.6378,0.9007738,-0.4409566
right_hip_imu,2.39167,301.153,211.4582,330.3025,-0.1225471,-10.8498,2.207685,-2.900658,3.101033,-10.22629,1.637786,0.9128565,-0.4445374
right_hip_imu,2.441671,301.097,207.6414,333.0299,0.396204,-11.75687,1.18289,-4.382183,2.451892,-10.7035,1.638762,0.920047,-0.445161
right_hip_imu,2.491672,302.0966,205.9502,334.6851,0.2101898,-11.96064,0.9467721,-4.926262,2.579438,-10.63373,1.640263,0.921836,-0.4434176
right_hip_imu,2.541672,303.7802,205.7657,335.3802,-0.2690315,-11.46256,1.260638,-4.695181,3.020887,-10.09364,1.641092,0.9194685,-0.4385226
right_hip_imu,2.591673,305.3789,205.3523,336.0424,-0.6546021,-10.77833,1.602387,-4.313886,3.314976,-9.464137,1.640284,0.9146551,-0.4296217
right_hip_imu,2.641674,306.45,204.8808,336.1682,-0.6211758,-10.32435,1.873612,-4.006375,3.247502,-9.159221,1.637924,0.908531,-0.4160367
right_hip_imu,2.691674,307.4554,205.1548,335.8647,-0.4086494,-9.863539,1.80397,-3.952208,3.016415,-8.71734,1.634541,0.9022479,-0.3979418
right_hip_imu,2.741675,309.1248,205.1601,336.3882,-0.2616405,-9.729929,1.456118,-4.425102,2.868453,-8.309678,1.630505,0.89614,-0.3762066
right_hip_imu,2.791676,312.0215,205.0213,338.41,-0.3043175,-9.849162,0.8661628,-5.441026,2.843712,-7.756122,1.625708,0.8899093,-0.352306
right_hip_imu,2.841676,316.3816,206.0467,341.691,-0.6483555,-10.27464,0.2980709,-6.848743,3.017625,-7.075747,1.61929,0.8824919,-0.3276602
right_hip_imu,2.891677,321.5487,208.9255,345.3078,-0.9585381,-10.68322,-0.01837015,-8.170883,3.000536,-6.26768,1.610476,0.8728665,-0.3030604
right_hip_imu,2.941678,326.794,212.323,349.2957,-1.011181,-10.67473,-0.06725788,-8.945702,2.524031,-5.346089,1.599133,0.8610542,-0.2786287
right_hip_imu,2.991678,331.921,215.9458,353.3078,-1.005793,-10.3136,0.1677036,-9.143861,1.99187,-4.453357,1.585277,0.8479579,-0.2537777
right_hip_imu,3.041679,336.9618,219.9873,356.4451,-0.6876469,-9.794445,0.4369855,-8.987679,1.3676,-3.73447,1.569701,0.8348755,-0.2278343
right_hip_imu,3.09168,342.0136,223.2392,358.4902,-0.07343292,-9.260793,0.6990314,-8.649467,0.7605168,-3.29616,1.553941,0.8231412,-0.2001433
right_hip_imu,3.14168,345.9627,224.3693,358.9464,0.5809307,-8.925242,0.4582167,-8.481047,0.06111,-2.87672,1.539634,0.8135937,-0.1713067
right_hip_imu,3.191681,346.1665,223.9781,358.5659,0.9327888,-8.571811,-0.1146317,-8.204263,-0.5456731,-2.598363,1.527659,0.8071167,-0.1427568
right_hip_imu,3.241682,344.6921,224.1142,357.8111,0.8080959,-8.294101,-1.047516,-8.094014,-1.000928,-2.006863,1.517704,0.8044044,-0.1168256
right_hip_imu,3.291682,345.9696,223.5269,357.5097,0.8150101,-9.404416,-1.782286,-9.371292,-1.41252,-1.570833,1.509787,0.8026811,-0.09535012
right_hip_imu,3.341683,346.9424,222.1726,357.5705,0.9326458,-10.01687,-2.268171,-10.08105,-1.788245,-1.235538,1.504201,0.8004157,-0.07954508
right_hip_imu,3.391684,347.287,221.9187,357.5264,0.74687,-10.35828,-1.806191,-10.35678,-1.31665,-1.455226,1.500482,0.7967545,-0.06825552
right_hip_imu,3.441684,347.3635,221.8042,357.2156,0.8810043,-10.56628,-1.165627,-10.42935,-0.9281731,-2.036727,1.498966,0.7911777,-0.05988003
right_hip_imu,3.491685,346.9089,222.2337,356.8951,0.5796432,-9.46743,-0.8533582,-9.316944,-0.4988565,-1.908438,1.498899,0.7864323,-0.05363793
right_hip_imu,3.541686,346.4456,222.1851,356.8306,0.008058548,-9.05108,-0.3884315,-8.866367,0.2237333,-1.846746,1.498852,0.7835591,-0.04836692
